Case,Algorithm,Bins Used,Time / Item (s),nitems,ndays,Bin Utilization,Avg Items per Bin,Percent Items Departed,Bins Used per Item,Efficiency,Time (s)
Small items,best_fit,32,0.0,100,-1,0.9791788864477349,3.125,1.0,0.32,0.9791788864477349,0.0
Small items,worst_fit,34,0.0,100,-1,0.8920276314946036,2.9411764705882355,1.0,0.34,0.8920276314946036,0.0
Small items,first_fit_decreasing,32,9.377002716064453e-06,100,-1,0.989389597161149,3.125,1.0,0.32,0.9466356088886914,0.0009377002716064453
Small items,best_fit_decreasing,32,0.0,100,-1,0.989389597161149,3.125,1.0,0.32,0.989389597161149,0.0
Small items,next_fit_decreasing,35,0.0,100,-1,0.8962548952176315,2.857142857142857,1.0,0.35,0.8962548952176315,0.0
Small items,worst_fit_decreasing,32,0.0,100,-1,0.9788562298906385,3.125,1.0,0.32,0.9788562298906385,0.0
Small items,time_aware_harmonic_algorithm,32,0.0,100,-1,0.989389597161149,3.125,1.0,0.32,0.989389597161149,0.0
Small items,rolling_horizon_dp,43,9.963512420654297e-06,100,-1,0.7061584437957832,2.3255813953488373,1.0,0.43,0.6633801766342511,0.0009963512420654297
Large items,first_fit,100,0.0,100,-1,0.7793463885107472,1.0,1.0,1.0,0.7793463885107472,0.0
Large items,next_fit,100,0.0,100,-1,0.7793463885107472,1.0,1.0,1.0,0.7793463885107472,0.0
Large items,best_fit,100,1.0013580322265625e-05,100,-1,0.7793463885107472,1.0,1.0,1.0,0.6772688347155686,0.0010013580322265625
Large items,worst_fit,100,0.0,100,-1,0.7793463885107472,1.0,1.0,1.0,0.7793463885107472,0.0
Large items,first_fit_decreasing,100,0.0,100,-1,0.7793463885107472,1.0,1.0,1.0,0.7793463885107472,0.0
Large items,best_fit_decreasing,100,9.987354278564453e-06,100,-1,0.7793463885107472,1.0,1.0,1.0,0.6775012438634777,0.0009987354278564453
Large items,next_fit_decreasing,100,0.0,100,-1,0.7793463885107472,1.0,1.0,1.0,0.7793463885107472,0.0
Large items,worst_fit_decreasing,100,0.0,100,-1,0.7793463885107472,1.0,1.0,1.0,0.7793463885107472,0.0
Large items,time_aware_harmonic_algorithm,100,1.0006427764892578e-05,100,-1,0.7793463885107472,1.0,1.0,1.0,0.6773322032138661,0.0010006427764892578
Large items,rolling_horizon_dp,100,0.0,100,-1,0.7793463885107472,1.0,1.0,1.0,0.7793463885107472,0.0
Mixed items,first_fit,66,1.001119613647461e-05,100,-1,0.9036881677132315,1.5151515151515151,1.0,0.66,0.8219448327941964,0.001001119613647461
Mixed items,next_fit,76,0.0,100,-1,0.78572830953319,1.3157894736842106,1.0,0.76,0.78572830953319,0.0
Mixed items,best_fit,66,0.0,100,-1,0.9238736423453358,1.5151515151515151,1.0,0.66,0.9238736423453358,0.0
Mixed items,worst_fit,68,0.0,100,-1,0.8397210030545348,1.4705882352941178,1.0,0.68,0.8397210030545348,0.0
Mixed items,first_fit_decreasing,63,0.0,100,-1,0.9612226227539364,1.5873015873015872,1.0,0.63,0.9612226227539364,0.0
Mixed items,best_fit_decreasing,63,9.9945068359375e-06,100,-1,0.9762403771314797,1.5873015873015872,1.0,0.63,0.891729105330744,0.00099945068359375
Mixed items,next_fit_decreasing,74,0.0,100,-1,0.782539790820445,1.3513513513513513,1.0,0.74,0.782539790820445,0.0
Mixed items,worst_fit_decreasing,63,0.0,100,-1,0.9059605462335729,1.5873015873015872,1.0,0.63,0.9059605462335729,0.0
Mixed items,time_aware_harmonic_algorithm,63,0.0,100,-1,0.9612226227539364,1.5873015873015872,1.0,0.63,0.9612226227539364,0.0
Mixed items,rolling_horizon_dp,79,1.5070438385009766e-05,100,-1,0.7484107120276523,1.2658227848101267,1.0,0.79,0.6346778216859134,0.0015070438385009766
Repeating Pattern 1,first_fit,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,next_fit,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,best_fit,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,worst_fit,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,first_fit_decreasing,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,best_fit_decreasing,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,next_fit_decreasing,77,0.0,100,-1,0.8999999999999999,1.2857142857142858,1.0,0.77,0.8999999999999999,0.0
Repeating Pattern 1,worst_fit_decreasing,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,time_aware_harmonic_algorithm,66,0.0,100,-1,0.95,1.5,1.0,0.66,0.95,0.0
Repeating Pattern 1,rolling_horizon_dp,72,9.496212005615234e-06,100,-1,0.9,1.375,1.0,0.72,0.8160221726832846,0.0009496212005615234
Repeating Pattern 2,first_fit,50,0.0,100,-1,0.8,1.98,1.0,0.5,0.8,0.0
Repeating Pattern 2,next_fit,66,0.0,100,-1,0.65,1.5,1.0,0.66,0.65,0.0
Repeating Pattern 2,best_fit,50,0.0,100,-1,0.8,1.98,1.0,0.5,0.8,0.0
Repeating Pattern 2,worst_fit,50,0.0,100,-1,0.8,1.98,1.0,0.5,0.8,0.0
